PS Power, PL Power, MGT Power, Total Power
 0.011, 0.105, 0.000, 0.116
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.010, 0.105, 0.000, 0.115
 0.011, 0.105, 0.000, 0.115
 0.010, 0.105, 0.000, 0.115
 0.012, 0.738, 0.000, 0.751
 0.011, 0.518, 0.000, 0.529
 0.012, 1.019, 0.000, 1.031
 0.011, 1.125, 0.000, 1.136
 0.012, 0.616, 0.000, 0.627
 0.012, 0.614, 0.000, 0.627
 0.011, 0.844, 0.000, 0.855
 0.012, 0.900, 0.000, 0.911
 0.012, 0.858, 0.000, 0.869
 0.011, 1.205, 0.000, 1.217
 0.014, 0.776, 0.000, 0.790
 0.012, 0.563, 0.000, 0.575
 0.011, 0.888, 0.000, 0.899
 0.012, 0.895, 0.000, 0.907
 0.012, 1.079, 0.000, 1.091
 0.012, 0.805, 0.000, 0.818
 0.015, 0.776, 0.000, 0.790
 0.012, 0.965, 0.000, 0.977
 0.012, 1.024, 0.000, 1.036
 0.012, 0.861, 0.000, 0.872
 0.014, 0.982, 0.000, 0.996
 0.011, 1.117, 0.000, 1.128
 0.014, 0.695, 0.000, 0.709
 0.011, 1.018, 0.000, 1.029
 0.012, 1.016, 0.000, 1.028
 0.014, 0.736, 0.000, 0.751
 0.012, 0.943, 0.000, 0.954
 0.013, 0.853, 0.000, 0.865
 0.012, 0.970, 0.000, 0.982
 0.015, 0.818, 0.000, 0.833
 0.010, 0.120, 0.000, 0.130
 0.010, 0.119, 0.000, 0.129
 0.009, 0.118, 0.000, 0.127
 0.009, 0.117, 0.000, 0.126
 0.009, 0.117, 0.000, 0.126
 0.009, 0.117, 0.000, 0.126
 0.009, 0.117, 0.000, 0.125
 0.011, 0.116, 0.000, 0.127
 0.010, 0.116, 0.000, 0.127
 0.011, 0.116, 0.000, 0.127
 0.009, 0.116, 0.000, 0.124
 0.012, 0.814, 0.000, 0.826
 0.012, 1.016, 0.000, 1.028
 0.011, 0.977, 0.000, 0.988
 0.012, 0.771, 0.000, 0.783
 0.012, 0.975, 0.000, 0.987
 0.011, 1.070, 0.000, 1.081
 0.012, 0.773, 0.000, 0.785
 0.012, 0.883, 0.000, 0.895
 0.012, 0.938, 0.000, 0.950
 0.012, 0.805, 0.000, 0.817
 0.011, 1.171, 0.000, 1.183
 0.012, 1.122, 0.000, 1.134
 0.012, 1.079, 0.000, 1.090
 0.012, 0.975, 0.000, 0.986
 0.012, 1.033, 0.000, 1.044
 0.012, 1.123, 0.000, 1.134
