PS Power, PL Power, MGT Power, Total Power
 0.011, 0.105, 0.000, 0.115
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.008, 0.105, 0.000, 0.113
 0.011, 0.105, 0.000, 0.115
 0.014, 0.105, 0.000, 0.119
 0.009, 0.295, 0.000, 0.304
 0.008, 0.372, 0.000, 0.380
 0.008, 0.371, 0.000, 0.379
 0.009, 0.339, 0.000, 0.348
 0.008, 0.368, 0.000, 0.377
 0.008, 0.372, 0.000, 0.380
 0.008, 0.396, 0.000, 0.405
 0.008, 0.394, 0.000, 0.402
 0.008, 0.203, 0.000, 0.211
 0.008, 0.402, 0.000, 0.410
 0.008, 0.398, 0.000, 0.406
 0.009, 0.293, 0.000, 0.302
 0.008, 0.396, 0.000, 0.404
 0.008, 0.372, 0.000, 0.380
 0.009, 0.350, 0.000, 0.359
 0.008, 0.376, 0.000, 0.385
 0.008, 0.322, 0.000, 0.330
 0.008, 0.400, 0.000, 0.408
 0.008, 0.401, 0.000, 0.409
 0.009, 0.289, 0.000, 0.297
 0.008, 0.399, 0.000, 0.407
 0.008, 0.400, 0.000, 0.408
 0.009, 0.299, 0.000, 0.308
 0.008, 0.394, 0.000, 0.402
 0.008, 0.396, 0.000, 0.404
 0.009, 0.369, 0.000, 0.378
 0.008, 0.325, 0.000, 0.333
 0.008, 0.230, 0.000, 0.238
 0.009, 0.400, 0.000, 0.409
 0.008, 0.392, 0.000, 0.401
 0.009, 0.115, 0.000, 0.123
 0.009, 0.114, 0.000, 0.123
 0.009, 0.114, 0.000, 0.123
 0.009, 0.114, 0.000, 0.123
 0.009, 0.114, 0.000, 0.122
 0.009, 0.114, 0.000, 0.122
 0.009, 0.114, 0.000, 0.122
 0.008, 0.114, 0.000, 0.122
 0.008, 0.114, 0.000, 0.122
 0.011, 0.345, 0.000, 0.356
 0.011, 0.550, 0.000, 0.561
 0.011, 0.654, 0.000, 0.665
 0.012, 0.424, 0.000, 0.436
 0.011, 0.694, 0.000, 0.705
 0.009, 0.764, 0.000, 0.772
 0.011, 0.773, 0.000, 0.784
 0.009, 0.810, 0.000, 0.819
 0.011, 0.579, 0.000, 0.590
 0.009, 0.780, 0.000, 0.789
 0.008, 0.847, 0.000, 0.855
 0.009, 0.584, 0.000, 0.593
 0.010, 0.700, 0.000, 0.710
 0.009, 0.801, 0.000, 0.810
